Stadium;City;Country;Year;Capacity;Coordinates;Latitude ;Longitude
Parc des Princes;Paris;France;1960;40.000;48.8414204,2.2530981;48,8414204;2,2530981
Stade Vélodrome;Marseille;France;1960;40.000;43.2698309,5.393704;43,2698309;5,393704
Santiago Bernabéu;Madrid;Spain ;1964;110.000;40.4530428,-3.690517;40,4530428;-3,690517
Camp Nou;Barcelona;Spain ;1964;93.053;41.3809,2.1206365;41,3809;2,1206365
Stadio Olimpico;Rome;Italy;1968;80.000;41.934081,12.4525417;41,934081;12,4525417
Stadio San Paolo;Naples;Italy;1968;82.000;40.8279405,14.1908778;40,8279405;14,1908778
Stadio Comunale;Florence ;Italy;1968;52.000;43.7808388,11.2803884;43,7808388;11,2803884
Heysel Stadium;Brussels;Belgium;1972;75.000;50.8957166,4.3319392;50,8957166;4,3319392
Stade Émile Versé;Anderlecht;Belgium;1972;30.000;50.8343283,4.2953189;50,8343283;4,2953189
Stade Maurice Dufrasne;Liége;Belgium;1972;35.000;50.6099009,5.54193;50,6099009;5,54193
Bosuilstadion;Antwerp;Belgium;1972;60.000;51.2324154,4.4699209;51,2324154;4,4699209
Red Star Stadium;Belgrade;Yugoslavia;1976;90.000;44.7830618,20.4626141;44,7830618;20,4626141
Stadion Maksimir;Zagreb;Yugoslavia;1976;55.000;45.8186031,16.0157722;45,8186031;16,0157722
Stadio Olimpico;Rome;Italy;1980;66.341;41.934081,12.4525417;41,934081;12,4525417
San Siro ;Milan;Italy;1980;83.141;45.4782118,9.1220599;45,4782118;9,1220599
Stadio San Paolo;Naples;Italy;1980;81.101;40.8279405,14.1908778;40,8279405;14,1908778
Stadio Comunale;Turin;Italy;1980;71.180;45.0418271,7.6478689;45,0418271;7,6478689
Parc des Princes;Paris;France;1984;48.360;48.8414204,2.2530981;48,8414204;2,2530981
Stade Vélodrome;Marseille;France;1984;55.000;43.2698309,5.393704;43,2698309;5,393704
Stade de Gerland;Lyon;France;1984;51.860;45.723699,4.8321401;45,723699;4,8321401
Stade Geoffroy-Guichard;Saint-Étienne;France;1984;48.274;45.460777,4.3879678;45,460777;4,3879678
Stade Félix-Bolleart;Lens;France;1984;49.000;50.4328823,2.8129003;50,4328823;2,8129003
Stade de la Beaujoire;Nantes;France;1984;52.923;47.2560269,-1.5268583;47,2560269;-1,5268583
Stade de la Meinau;Strasbourg;France;1984;42.756;48.559534,7.7529238;48,559534;7,7529238
Olympiastadion;Munich;West-Germany;1988;69.256;52.5147003,13.2373154;52,5147003;13,2373154
Parkstadion;Gelsenkirchen;West-Germany;1988;70.748;51.5594802,7.0652377;51,5594802;7,0652377
Volksparkstadion;Hamburg;West-Germany;1988;61.330;53.5871311,9.8964171;53,5871311;9,8964171
Waldstadion;Frankfurt;West-Germany;1988;61.056;50.0685841,8.6432887;50,0685841;8,6432887
Rheinstadion;Düsseldorf;West-Germany;1988;68.400;51.2615893,6.7309822;51,2615893;6,7309822
Niedersachsenstadion;Hanover;West-Germany;1988;60.366;52.3600203,9.7290416;52,3600203;9,7290416
Neckerstadion;Stuttgart;West-Germany;1988;70.705;48.7922612,9.2298967;48,7922612;9,2298967
Müngersdorfer Stadion;Cologne;West-Germany;1988;60.584;50.9334643,6.8729712;50,9334643;6,8729712
Ullevi;Gothenburg;Sweden;1992;44.000;57.7057926,11.9859395;57,7057926;11,9859395
Råsunda Stadium;Stockholm;Sweden;1992;40.000;59.3626494,17.9958556;59,3626494;17,9958556
Malmö Stadion;Malmö;Sweden;1992;30.000;55.586067,12.9892613;55,586067;12,9892613
Idrottsparken;Norrköping;Sweden;1992;23.000;58.5847986,16.1698661;58,5847986;16,1698661
Wembley Stadium;London;England;1996;76.567;51.556028,-0.281801;51,556028;-0,281801
Old Trafford;Manchester;England;1996;55.000;53.4630621,-2.2935234;53,4630621;-2,2935234
Anfield;Liverpool;England;1996;42.730;53.4308326,-2.9630133;53,4308326;-2,9630133
Villa Park;Birmingham;England;1996;40.310;52.5091149,-1.8869661;52,5091149;-1,8869661
Elland Road;Leeds;England;1996;40.204;53.7778194,-1.5743279;53,7778194;-1,5743279
Hillsborough;Sheffield;England;1996;39.859;53.4114094,-1.502799;53,4114094;-1,502799
City ground;Nottingham;England;1996;30.539;52.9399479,-1.1350371;52,9399479;-1,1350371
St James' Park;Newcastle;England;1996;36.649;54.9755591,-1.6238503;54,9755591;-1,6238503
King Baudouin Stadium;Brussels;Belgium;2000;50.000;50.8957166,4.3319392;50,8957166;4,3319392
Jan Breydel Stadium;Bruges;Belgium;2000;30.000;51.1932431,3.1778328;51,1932431;3,1778328
Stade Maurice Dufrasne;Liége;Belgium;2000;30.000;50.6099009,5.54193;50,6099009;5,54193
Stade du Pays de Charleroi;Charleroi;Belgium;2000;30.000;50.4148765,4.4528813;50,4148765;4,4528813
Amsterdam Arena;Amsterdam;Netherlands;2000;52.000;52.3143746,4.9397808;52,3143746;4,9397808
Feijenoord Stadion (De Kuip);Rotterdam;Netherlands;2000;51.000;51.8939068,4.5209521;51,8939068;4,5209521
Philips Stadion;Eindhoven;Netherlands;2000;33.000;51.4417374,5.4652645;51,4417374;5,4652645
GelreDome;Arnhem;Netherlands;2000;30.000;51.9631229,5.8896297;51,9631229;5,8896297
Estádio da Luz ;Lisbon;Portugal;2004;65.647;38.7527152,-9.1869573;38,7527152;-9,1869573
Estádio José Alvalade;Lisbon;Portugal;2004;50.095;38.7612341,-9.1639789;38,7612341;-9,1639789
